case_id,stage,status,ip_type,parameters,strategy,strategy_version,random_seed,case_budget,coverage_targets,metrics,run_dir,log_path
cmul_comb_pad11,create_ip,PASS,complex_multiplier,"{""a_last"":false,""a_user_width"":0,""a_width"":11,""b_last"":false,""b_user_width"":0,""b_width"":9,""clock_enable"":false,""ctrl_last"":false,""ctrl_user_width"":0,""last_mode"":""Null"",""latency"":0,""multiplier_type"":""Use_LUTs"",""optimization"":""Resources"",""output_width"":13,""rounding"":""Truncate""}",directed_random,1.0,2026,1024,"[""port_boundaries""]","{""elapsed_seconds"":5.879007495939732,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/cases/complex_multiplier/cmul_comb_pad11,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/complex_multiplier/cmul_comb_pad11/create_ip/create_ip.log
cmul_comb_pad11,generate_testbench,PASS,complex_multiplier,"{""a_last"":false,""a_user_width"":0,""a_width"":11,""b_last"":false,""b_user_width"":0,""b_width"":9,""clock_enable"":false,""ctrl_last"":false,""ctrl_user_width"":0,""last_mode"":""Null"",""latency"":0,""multiplier_type"":""Use_LUTs"",""optimization"":""Resources"",""output_width"":13,""rounding"":""Truncate""}",directed_random,1.0,2026,1024,"[""port_boundaries""]","{""checked_transaction_count"":6395,""comparison_kind"":""combinational"",""coverage_model"":""input_bins:1.0"",""covered_targets"":[""port_boundaries""],""defined_output_bits_by_port"":{""m_axis_dout_tdata"":49344,""m_axis_dout_tvalid"":6395},""directed_count"":29,""directed_sequence_cycles"":1276,""directed_suffix_cycles"":0,""elapsed_seconds"":0.1407482239883393,""flush_cycles"":3,""fully_masked_cycles"":0,""gap_cycles"":4092,""generated_count"":1024,""input_cycles"":6395,""input_space_fraction"":1.3877787807814457e-17,""input_space_size"":73786976294838206464,""masked_output_bits"":155296,""masked_reason_cycles"":{""m_axis_dout_tdata:output_tvalid_low"":4853},""max_observed_gap"":8,""missing_targets"":[],""reference_sequence_events"":{""invalid_input_cycles"":4853,""valid_input_operations"":1542,""valid_output_samples"":1542},""schedule_version"":""1.0"",""sequence_coverage"":""not_measured"",""strategy"":""directed_random"",""strategy_version"":""1.0"",""target_coverage"":{""port_boundaries"":{""fraction"":1.0,""hit_bins"":[""s_axis_a_tdata:0"",""s_axis_a_tdata:1"",""s_axis_a_tdata:2147483647"",""s_axis_a_tdata:4294967294"",""s_axis_a_tdata:4294967295"",""s_axis_a_tvalid:0"",""s_axis_a_tvalid:1"",""s_axis_b_tdata:0"",""s_axis_b_tdata:1"",""s_axis_b_tdata:2147483647"",""s_axis_b_tdata:4294967294"",""s_axis_b_tdata:4294967295"",""s_axis_b_tvalid:0"",""s_axis_b_tvalid:1""],""hit_count"":14,""missing_bins"":[],""total_count"":14}},""unique_count"":1024}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/cases/complex_multiplier/cmul_comb_pad11,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/complex_multiplier/cmul_comb_pad11/generate_testbench/generate_testbench.log
cmul_comb_pad11,sim_selfcheck,PASS,complex_multiplier,"{""a_last"":false,""a_user_width"":0,""a_width"":11,""b_last"":false,""b_user_width"":0,""b_width"":9,""clock_enable"":false,""ctrl_last"":false,""ctrl_user_width"":0,""last_mode"":""Null"",""latency"":0,""multiplier_type"":""Use_LUTs"",""optimization"":""Resources"",""output_width"":13,""rounding"":""Truncate""}",directed_random,1.0,2026,1024,"[""port_boundaries""]","{""actual_output_sha256"":""50f25706e81b36e7b63856b805c32a4825aa6d1d0b5d027323aafd52d1b7864d"",""elapsed_seconds"":17.235661590006202,""output_count"":6395,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/cases/complex_multiplier/cmul_comb_pad11,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/complex_multiplier/cmul_comb_pad11/sim_selfcheck/sim_selfcheck.log
cmul_comb_round,create_ip,PASS,complex_multiplier,"{""a_last"":true,""a_user_width"":0,""a_width"":8,""b_last"":false,""b_user_width"":0,""b_width"":8,""clock_enable"":false,""ctrl_last"":false,""ctrl_user_width"":0,""last_mode"":""Pass_A_TLAST"",""latency"":0,""multiplier_type"":""Use_Mults"",""optimization"":""Performance"",""output_width"":8,""rounding"":""Random_Rounding""}",directed_random,1.0,2026,1024,"[""port_boundaries""]","{""elapsed_seconds"":5.865662516094744,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/cases/complex_multiplier/cmul_comb_round,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/complex_multiplier/cmul_comb_round/create_ip/create_ip.log
cmul_comb_round,generate_testbench,PASS,complex_multiplier,"{""a_last"":true,""a_user_width"":0,""a_width"":8,""b_last"":false,""b_user_width"":0,""b_width"":8,""clock_enable"":false,""ctrl_last"":false,""ctrl_user_width"":0,""last_mode"":""Pass_A_TLAST"",""latency"":0,""multiplier_type"":""Use_Mults"",""optimization"":""Performance"",""output_width"":8,""rounding"":""Random_Rounding""}",directed_random,1.0,2026,1024,"[""port_boundaries""]","{""checked_transaction_count"":7661,""comparison_kind"":""combinational"",""coverage_model"":""input_bins:1.0"",""covered_targets"":[""port_boundaries""],""defined_output_bits_by_port"":{""m_axis_dout_tdata"":42720,""m_axis_dout_tlast"":2670,""m_axis_dout_tvalid"":7661},""directed_count"":57,""directed_sequence_cycles"":2542,""directed_suffix_cycles"":0,""elapsed_seconds"":0.2308865999802947,""flush_cycles"":3,""fully_masked_cycles"":0,""gap_cycles"":4092,""generated_count"":1024,""input_cycles"":7661,""input_space_fraction"":5.820766091346741e-11,""input_space_size"":17592186044416,""masked_output_bits"":84847,""masked_reason_cycles"":{""m_axis_dout_tdata:output_tvalid_low"":4991,""m_axis_dout_tlast:output_tvalid_low"":4991},""max_observed_gap"":8,""missing_targets"":[],""reference_sequence_events"":{""invalid_input_cycles"":4991,""round_carry_0"":1333,""round_carry_1"":1337,""rounding_tie_components"":184,""valid_input_operations"":2670,""valid_output_samples"":2670},""schedule_version"":""1.0"",""sequence_coverage"":""not_measured"",""strategy"":""directed_random"",""strategy_version"":""1.0"",""target_coverage"":{""port_boundaries"":{""fraction"":1.0,""hit_bins"":[""s_axis_a_tdata:0"",""s_axis_a_tdata:1"",""s_axis_a_tdata:32767"",""s_axis_a_tdata:65534"",""s_axis_a_tdata:65535"",""s_axis_a_tlast:0"",""s_axis_a_tlast:1"",""s_axis_a_tvalid:0"",""s_axis_a_tvalid:1"",""s_axis_b_tdata:0"",""s_axis_b_tdata:1"",""s_axis_b_tdata:32767"",""s_axis_b_tdata:65534"",""s_axis_b_tdata:65535"",""s_axis_b_tvalid:0"",""s_axis_b_tvalid:1"",""s_axis_ctrl_tdata:0"",""s_axis_ctrl_tdata:1"",""s_axis_ctrl_tdata:127"",""s_axis_ctrl_tdata:254"",""s_axis_ctrl_tdata:255"",""s_axis_ctrl_tvalid:0"",""s_axis_ctrl_tvalid:1""],""hit_count"":23,""missing_bins"":[],""total_count"":23}},""unique_count"":1024}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/cases/complex_multiplier/cmul_comb_round,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/complex_multiplier/cmul_comb_round/generate_testbench/generate_testbench.log
cmul_comb_round,sim_selfcheck,PASS,complex_multiplier,"{""a_last"":true,""a_user_width"":0,""a_width"":8,""b_last"":false,""b_user_width"":0,""b_width"":8,""clock_enable"":false,""ctrl_last"":false,""ctrl_user_width"":0,""last_mode"":""Pass_A_TLAST"",""latency"":0,""multiplier_type"":""Use_Mults"",""optimization"":""Performance"",""output_width"":8,""rounding"":""Random_Rounding""}",directed_random,1.0,2026,1024,"[""port_boundaries""]","{""actual_output_sha256"":""986e5c8c81498a4c62d98e7e991334e4ee5584cbac1ae6ae8443150f328e27d6"",""elapsed_seconds"":19.48223567707464,""output_count"":7661,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/cases/complex_multiplier/cmul_comb_round,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/complex_multiplier/cmul_comb_round/sim_selfcheck/sim_selfcheck.log
axis_pc_no_ready_sidebands,create_ip,PASS,axis_protocol_checker,"{""data_bytes"":16,""has_aclken"":false,""has_system_reset"":true,""has_tkeep"":true,""has_tlast"":true,""has_tready"":false,""has_tstrb"":true,""max_waits"":256,""tdest_width"":16,""tid_width"":16,""tuser_width"":16}",directed_random,1.0,20261177,16,"[""protocol_rules""]","{""elapsed_seconds"":4.694703350076452,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/cases/axis_protocol_checker/axis_pc_no_ready_sidebands,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/axis_protocol_checker/axis_pc_no_ready_sidebands/create_ip/create_ip.log
axis_pc_no_ready_sidebands,generate_testbench,PASS,axis_protocol_checker,"{""data_bytes"":16,""has_aclken"":false,""has_system_reset"":true,""has_tkeep"":true,""has_tlast"":true,""has_tready"":false,""has_tstrb"":true,""max_waits"":256,""tdest_width"":16,""tid_width"":16,""tuser_width"":16}",directed_random,1.0,20261177,16,"[""protocol_rules""]","{""checked_transaction_count"":16,""comparison_kind"":""axis_protocol_checker_exact_status_bits"",""elapsed_seconds"":0.001023143995553255,""reference_sequence_events"":{""legal"":8,""tkeep_tstrb_conflict"":8},""sequence_coverage"":""reset_stability_valid_wait_and_keep_strb_rules""}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/cases/axis_protocol_checker/axis_pc_no_ready_sidebands,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/axis_protocol_checker/axis_pc_no_ready_sidebands/generate_testbench/generate_testbench.log
axis_pc_no_ready_sidebands,sim_selfcheck,PASS,axis_protocol_checker,"{""data_bytes"":16,""has_aclken"":false,""has_system_reset"":true,""has_tkeep"":true,""has_tlast"":true,""has_tready"":false,""has_tstrb"":true,""max_waits"":256,""tdest_width"":16,""tid_width"":16,""tuser_width"":16}",directed_random,1.0,20261177,16,"[""protocol_rules""]","{""actual_output_sha256"":""af3c0df3ffd71824f0158ad3f938086969bf7e21f009b692f865b91276658aaf"",""elapsed_seconds"":15.482423297828063,""output_count"":16,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/cases/axis_protocol_checker/axis_pc_no_ready_sidebands,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_16-09-47_UTC+0800_7e11e8e7/axis_protocol_checker/axis_pc_no_ready_sidebands/sim_selfcheck/sim_selfcheck.log
