case_id,stage,status,ip_type,parameters,strategy,strategy_version,random_seed,case_budget,coverage_targets,metrics,run_dir,log_path
mailbox_axis_d16_distributed,create_ip,PASS,mailbox,"{""async_clocks"":false,""data_width"":32,""depth"":16,""interface_mode"":""Axis"",""memory_style"":""Distributed_RAM""}",exhaustive,1.0,20261013,1,"[""bidirectional_stream"",""tlast"",""fifo_full_backpressure"",""output_backpressure"",""concurrent_directions"",""reset_flush""]","{""elapsed_seconds"":4.875759243965149,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-13-24_UTC+0800_e52ddfa9/cases/mailbox/mailbox_axis_d16_distributed,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-13-24_UTC+0800_e52ddfa9/mailbox/mailbox_axis_d16_distributed/create_ip/create_ip.log
mailbox_axis_d16_distributed,generate_testbench,PASS,mailbox,"{""async_clocks"":false,""data_width"":32,""depth"":16,""interface_mode"":""Axis"",""memory_style"":""Distributed_RAM""}",exhaustive,1.0,20261013,1,"[""bidirectional_stream"",""tlast"",""fifo_full_backpressure"",""output_backpressure"",""concurrent_directions"",""reset_flush""]","{""checked_directions"":2,""elapsed_seconds"":0.002762455027550459,""fill_transactions"":16,""reference_contract"":{""async_clocks"":false,""data_width"":32,""depth"":16,""expected_outputs"":[[{""data"":2863311530,""last"":false},{""data"":1431655765,""last"":true},{""data"":1,""last"":false},{""data"":2147483647,""last"":false},{""data"":3735928559,""last"":true}],[{""data"":0,""last"":false},{""data"":4294967295,""last"":false},{""data"":2147483648,""last"":true},{""data"":324508639,""last"":false},{""data"":610839776,""last"":true}]],""inputs"":[[{""data"":0,""last"":false},{""data"":4294967295,""last"":false},{""data"":2147483648,""last"":true},{""data"":324508639,""last"":false},{""data"":610839776,""last"":true}],[{""data"":2863311530,""last"":false},{""data"":1431655765,""last"":true},{""data"":1,""last"":false},{""data"":2147483647,""last"":false},{""data"":3735928559,""last"":true}]],""interface_mode"":""dual_axis_synchronous"",""memory_style"":""Distributed_RAM"",""model"":""mailbox_axis_dual_fifo:1.0""}}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-13-24_UTC+0800_e52ddfa9/cases/mailbox/mailbox_axis_d16_distributed,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-13-24_UTC+0800_e52ddfa9/mailbox/mailbox_axis_d16_distributed/generate_testbench/generate_testbench.log
mailbox_axis_d16_distributed,sim_selfcheck,SIMULATION_FAILED,mailbox,"{""async_clocks"":false,""data_width"":32,""depth"":16,""interface_mode"":""Axis"",""memory_style"":""Distributed_RAM""}",exhaustive,1.0,20261013,1,"[""bidirectional_stream"",""tlast"",""fifo_full_backpressure"",""output_backpressure"",""concurrent_directions"",""reset_flush""]","{""actual_output_sha256"":""206501a23bad6e8f08bcdb241cd30ca7d2ad957bcb2ef6fff30f3e5967f31976"",""elapsed_seconds"":15.358796268934384,""failure_detail_file"":""outputs/failure.json"",""failure_detail_sha256"":""9287c84a8f469f90339692a29ea4105f382b834c547cc4454446df4d8f2c2ac4"",""failure_evidence"":{""actual"":""RESET"",""classification"":""UNTRIAGED"",""contains_unknown_bits"":true,""difference_summary"":{""all_rows_visited"":true,""artifact_issues"":0,""classification"":""OBSERVATION_GROUPS_NOT_BUG_COUNTS"",""difference_kind_counts"":{""invalid_expected_output"":6},""difference_rows"":6,""group_limit"":256,""grouping"":""kind_phase_output_field_route:1.0"",""groups_truncated"":false,""layout_issue_rows"":{},""omitted_group_memberships"":0,""retained_group_count"":1,""rows_without_input_mapping"":6,""schema_version"":1},""expected"":""RESET"",""input_mapping_available"":false,""kind"":""invalid_expected_output"",""output_index"":0},""output_count"":6,""returncode"":1,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-13-24_UTC+0800_e52ddfa9/cases/mailbox/mailbox_axis_d16_distributed,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-13-24_UTC+0800_e52ddfa9/mailbox/mailbox_axis_d16_distributed/sim_selfcheck/sim_selfcheck.log
mailbox_axis_d32_block,create_ip,PASS,mailbox,"{""async_clocks"":false,""data_width"":32,""depth"":32,""interface_mode"":""Axis"",""memory_style"":""Block_RAM""}",exhaustive,1.0,20261015,1,"[""bidirectional_stream"",""tlast"",""fifo_full_backpressure"",""output_backpressure"",""concurrent_directions"",""reset_flush""]","{""elapsed_seconds"":4.6502074028830975,""returncode"":0,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-13-24_UTC+0800_e52ddfa9/cases/mailbox/mailbox_axis_d32_block,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-13-24_UTC+0800_e52ddfa9/mailbox/mailbox_axis_d32_block/create_ip/create_ip.log
mailbox_axis_d32_block,generate_testbench,PASS,mailbox,"{""async_clocks"":false,""data_width"":32,""depth"":32,""interface_mode"":""Axis"",""memory_style"":""Block_RAM""}",exhaustive,1.0,20261015,1,"[""bidirectional_stream"",""tlast"",""fifo_full_backpressure"",""output_backpressure"",""concurrent_directions"",""reset_flush""]","{""checked_directions"":2,""elapsed_seconds"":0.001254033064469695,""fill_transactions"":32,""reference_contract"":{""async_clocks"":false,""data_width"":32,""depth"":32,""expected_outputs"":[[{""data"":2863311530,""last"":false},{""data"":1431655765,""last"":true},{""data"":1,""last"":false},{""data"":2147483647,""last"":false},{""data"":3735928559,""last"":true}],[{""data"":0,""last"":false},{""data"":4294967295,""last"":false},{""data"":2147483648,""last"":true},{""data"":324508639,""last"":false},{""data"":610839776,""last"":true}]],""inputs"":[[{""data"":0,""last"":false},{""data"":4294967295,""last"":false},{""data"":2147483648,""last"":true},{""data"":324508639,""last"":false},{""data"":610839776,""last"":true}],[{""data"":2863311530,""last"":false},{""data"":1431655765,""last"":true},{""data"":1,""last"":false},{""data"":2147483647,""last"":false},{""data"":3735928559,""last"":true}]],""interface_mode"":""dual_axis_synchronous"",""memory_style"":""Block_RAM"",""model"":""mailbox_axis_dual_fifo:1.0""}}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-13-24_UTC+0800_e52ddfa9/cases/mailbox/mailbox_axis_d32_block,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-13-24_UTC+0800_e52ddfa9/mailbox/mailbox_axis_d32_block/generate_testbench/generate_testbench.log
mailbox_axis_d32_block,sim_selfcheck,SIMULATION_FAILED,mailbox,"{""async_clocks"":false,""data_width"":32,""depth"":32,""interface_mode"":""Axis"",""memory_style"":""Block_RAM""}",exhaustive,1.0,20261015,1,"[""bidirectional_stream"",""tlast"",""fifo_full_backpressure"",""output_backpressure"",""concurrent_directions"",""reset_flush""]","{""actual_output_sha256"":""206501a23bad6e8f08bcdb241cd30ca7d2ad957bcb2ef6fff30f3e5967f31976"",""elapsed_seconds"":15.207257150905207,""failure_detail_file"":""outputs/failure.json"",""failure_detail_sha256"":""9287c84a8f469f90339692a29ea4105f382b834c547cc4454446df4d8f2c2ac4"",""failure_evidence"":{""actual"":""RESET"",""classification"":""UNTRIAGED"",""contains_unknown_bits"":true,""difference_summary"":{""all_rows_visited"":true,""artifact_issues"":0,""classification"":""OBSERVATION_GROUPS_NOT_BUG_COUNTS"",""difference_kind_counts"":{""invalid_expected_output"":6},""difference_rows"":6,""group_limit"":256,""grouping"":""kind_phase_output_field_route:1.0"",""groups_truncated"":false,""layout_issue_rows"":{},""omitted_group_memberships"":0,""retained_group_count"":1,""rows_without_input_mapping"":6,""schema_version"":1},""expected"":""RESET"",""input_mapping_available"":false,""kind"":""invalid_expected_output"",""output_index"":0},""output_count"":6,""returncode"":1,""timed_out"":false}",<REPOSITORY_ROOT>/runs/history/2026.1/2026-09-22_12-13-24_UTC+0800_e52ddfa9/cases/mailbox/mailbox_axis_d32_block,<REPOSITORY_ROOT>/runs/logs/history/2026.1/2026-09-22_12-13-24_UTC+0800_e52ddfa9/mailbox/mailbox_axis_d32_block/sim_selfcheck/sim_selfcheck.log
